time,event_id,source_event_id,element_name,element_type,event_type,item,reason
2025-07-01 00:00:00 UTC,SNK_000000,INIT_000000,Sink,DiscreteSink,ProcessNonStart,,Upstream is empty
2025-07-01 00:00:00 UTC,P1_000000,INIT_000000,Process1,DiscreteProcess,ProcessNonStart,,Upstream is empty
2025-07-01 00:00:00 UTC,P2_000000,INIT_000000,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:00:00 UTC,SRC_000000,INIT_000000,Source,DiscreteSource,ProcessStart,"{""id"":0}",
2025-07-01 00:15:00 UTC,SRC_000001,SRC_000000,Source,DiscreteSource,ProcessFinish,"{""id"":0}",
2025-07-01 00:15:00 UTC,SRC_000002,SRC_000001,Source,DiscreteSource,ProcessStart,"{""id"":1}",
2025-07-01 00:15:00.000000001 UTC,P1_000001,Q1_000001,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-01 00:15:00.000000001 UTC,P1_000002,P1_000001,Process1,DiscreteProcess,ProcessStart,"{""id"":0}",
2025-07-01 00:30:00 UTC,SRC_000003,SRC_000002,Source,DiscreteSource,ProcessFinish,"{""id"":1}",
2025-07-01 00:30:00 UTC,SRC_000004,SRC_000003,Source,DiscreteSource,ProcessStart,"{""id"":2}",
2025-07-01 00:30:01.557542201 UTC,P1_000003,P1_000002,Process1,DiscreteProcess,ProcessFinish,"{""id"":0}",
2025-07-01 00:30:01.557542201 UTC,P1_000004,P1_000003,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-01 00:30:01.557542201 UTC,P1_000005,P1_000004,Process1,DiscreteProcess,ProcessStart,"{""id"":1}",
2025-07-01 00:30:01.557542202 UTC,P2_000001,Q2_000002,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:30:01.557542202 UTC,P2_000002,P2_000001,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":0}",
2025-07-01 00:30:01.557542202 UTC,P2_000003,P2_000002,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:30:01.557542203 UTC,P2_000004,Q2_000005,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:44:58.700092669 UTC,P1_000006,P1_000005,Process1,DiscreteProcess,ProcessFinish,"{""id"":1}",
2025-07-01 00:44:58.700092669 UTC,P1_000007,P1_000006,Process1,DiscreteProcess,ProcessNonStart,,Upstream is empty
2025-07-01 00:44:58.700092670 UTC,P2_000005,Q2_000008,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:44:58.700092670 UTC,P1_000008,Q2_000008,Process1,DiscreteProcess,ProcessNonStart,,Upstream is empty
2025-07-01 00:44:58.700092670 UTC,P2_000006,P2_000005,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":1}",
2025-07-01 00:44:58.700092670 UTC,P2_000007,P2_000006,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:44:58.700092671 UTC,P2_000008,Q2_000011,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:44:58.700092671 UTC,P1_000009,Q2_000011,Process1,DiscreteProcess,ProcessNonStart,,Upstream is empty
2025-07-01 00:45:00 UTC,SRC_000005,SRC_000004,Source,DiscreteSource,ProcessFinish,"{""id"":2}",
2025-07-01 00:45:00 UTC,SRC_000006,SRC_000005,Source,DiscreteSource,ProcessStart,"{""id"":3}",
2025-07-01 00:45:00.000000001 UTC,P1_000010,Q1_000009,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-01 00:45:00.000000001 UTC,P1_000011,P1_000010,Process1,DiscreteProcess,ProcessStart,"{""id"":2}",
2025-07-01 00:47:50.585806176 UTC,P2_000009,P2_000003,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":0}",
2025-07-01 00:47:50.585806176 UTC,P2_000010,P2_000009,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:47:50.585806177 UTC,P2_000011,Q3_000001,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:47:50.585806177 UTC,SNK_000001,Q3_000001,Sink,DiscreteSink,WithdrawRequest,,
2025-07-01 00:47:50.585806177 UTC,SNK_000002,SNK_000001,Sink,DiscreteSink,ProcessStart,"{""id"":0}",
2025-07-01 00:47:50.585806178 UTC,P2_000012,Q3_000003,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:56:17.770987796 UTC,P2_000013,P2_000010,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":1}",
2025-07-01 00:56:17.770987796 UTC,P2_000014,P2_000013,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 00:56:17.770987797 UTC,P2_000015,Q3_000005,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 01:00:00 UTC,SNK_000003,ENV_000001,Sink,DiscreteSink,ProcessStopped,,Stopped by environment
2025-07-01 01:00:00 UTC,SRC_000007,ENV_000001,Source,DiscreteSource,ProcessFinish,"{""id"":3}",
2025-07-01 01:00:00 UTC,P1_000012,ENV_000001,Process1,DiscreteProcess,ProcessStopped,,Stopped by environment
2025-07-01 01:00:00 UTC,P2_000016,ENV_000001,Process2,DiscreteParallelProcess,ProcessStopped,,Stopped by environment
2025-07-01 01:00:00 UTC,SRC_000008,SRC_000007,Source,DiscreteSource,ProcessStopped,,Stopped by environment
2025-07-01 02:00:00 UTC,SNK_000004,ENV_000002,Sink,DiscreteSink,ProcessContinue,,Resumed by environment
2025-07-01 02:00:00 UTC,P1_000013,ENV_000002,Process1,DiscreteProcess,ProcessContinue,,Resumed by environment
2025-07-01 02:00:00 UTC,P2_000017,ENV_000002,Process2,DiscreteParallelProcess,ProcessContinue,,Resumed by environment
2025-07-01 02:00:00 UTC,SRC_000009,ENV_000002,Source,DiscreteSource,ProcessContinue,,Resumed by environment
2025-07-01 02:00:00 UTC,P2_000018,P2_000017,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 02:00:00 UTC,SRC_000010,SRC_000009,Source,DiscreteSource,ProcessStart,"{""id"":4}",
2025-07-01 02:02:50.585806177 UTC,SNK_000005,SNK_000002,Sink,DiscreteSink,ProcessFinish,"{""id"":0}",
2025-07-01 02:02:50.585806177 UTC,SNK_000006,SNK_000005,Sink,DiscreteSink,WithdrawRequest,,
2025-07-01 02:02:50.585806177 UTC,SNK_000007,SNK_000006,Sink,DiscreteSink,ProcessStart,"{""id"":1}",
2025-07-01 02:02:50.585806178 UTC,P2_000019,Q3_000007,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 02:08:05.817701928 UTC,P1_000014,P1_000013,Process1,DiscreteProcess,ProcessFinish,"{""id"":2}",
2025-07-01 02:08:05.817701928 UTC,P1_000015,P1_000014,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-01 02:08:05.817701928 UTC,P1_000016,P1_000015,Process1,DiscreteProcess,ProcessStart,"{""id"":3}",
2025-07-01 02:08:05.817701929 UTC,P2_000020,Q2_000021,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 02:08:05.817701929 UTC,P2_000021,P2_000020,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":2}",
2025-07-01 02:08:05.817701929 UTC,P2_000022,P2_000021,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 02:08:05.817701930 UTC,P2_000023,Q2_000024,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-01 02:15:00 UTC,SRC_000011,SRC_000010,Source,DiscreteSource,ProcessFinish,"{""id"":4}",
