time,event_id,source_event_id,element_name,element_type,log_type,item,reason
2025-07-01 00:00:00 UTC,Q2_000000,P2_000000,Queue2,DiscreteStock,Remove,null,
2025-07-01 00:15:00 UTC,Q1_000000,SRC_000001,Queue1,DiscreteStock,Add,"{""id"":0}",
2025-07-01 00:15:00.000000001 UTC,Q1_000001,Q1_000000,Queue1,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-07-01 00:15:00.000000001 UTC,Q1_000002,P1_000001,Queue1,DiscreteStock,Remove,"{""id"":0}",
2025-07-01 00:15:00.000000002 UTC,Q1_000003,Q1_000002,Queue1,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-07-01 00:30:00 UTC,Q1_000004,SRC_000003,Queue1,DiscreteStock,Add,"{""id"":1}",
2025-07-01 00:30:00.000000001 UTC,Q1_000005,Q1_000004,Queue1,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-07-01 00:30:01.557542201 UTC,Q2_000001,P1_000003,Queue2,DiscreteStock,Add,"{""id"":0}",
2025-07-01 00:30:01.557542201 UTC,Q1_000006,P1_000004,Queue1,DiscreteStock,Remove,"{""id"":1}",
2025-07-01 00:30:01.557542202 UTC,Q1_000007,Q1_000006,Queue1,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-07-01 00:30:01.557542202 UTC,Q2_000002,Q2_000001,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-07-01 00:30:01.557542202 UTC,Q2_000003,P2_000001,Queue2,DiscreteStock,Remove,"{""id"":0}",
2025-07-01 00:30:01.557542202 UTC,Q2_000004,P2_000003,Queue2,DiscreteStock,Remove,null,
2025-07-01 00:30:01.557542203 UTC,Q2_000005,Q2_000003,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-07-01 00:30:01.557542203 UTC,Q2_000006,P2_000004,Queue2,DiscreteStock,Remove,null,
2025-07-01 00:44:58.700092669 UTC,Q2_000007,P1_000006,Queue2,DiscreteStock,Add,"{""id"":1}",
2025-07-01 00:44:58.700092670 UTC,Q2_000008,Q2_000007,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-07-01 00:44:58.700092670 UTC,Q2_000009,P2_000005,Queue2,DiscreteStock,Remove,"{""id"":1}",
2025-07-01 00:44:58.700092670 UTC,Q2_000010,P2_000007,Queue2,DiscreteStock,Remove,null,
2025-07-01 00:44:58.700092671 UTC,Q2_000011,Q2_000009,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-07-01 00:44:58.700092671 UTC,Q2_000012,P2_000008,Queue2,DiscreteStock,Remove,null,
