time,event_id,source_event_id,element_name,element_type,event_type,item,reason
1970-01-01 00:00:00 UTC,_000000,INIT_000000,Source,DiscreteSource,ProcessStart,"""Item_0000""",
1970-01-01 00:00:00 UTC,_000000,INIT_000000,Process1,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:00 UTC,_000000,INIT_000000,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:00 UTC,_000000,INIT_000000,Sink,DiscreteSink,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:03 UTC,_000001,_000000,Source,DiscreteSource,ProcessFinish,"""Item_0000""",
1970-01-01 00:00:03 UTC,_000002,_000001,Source,DiscreteSource,ProcessStart,"""Item_0001""",
1970-01-01 00:00:03.000000001 UTC,_000001,_000001,Process1,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:03.000000001 UTC,_000002,_000001,Process1,DiscreteProcess,ProcessStart,"""Item_0000""",
1970-01-01 00:00:06 UTC,_000003,_000002,Source,DiscreteSource,ProcessFinish,"""Item_0001""",
1970-01-01 00:00:06 UTC,_000004,_000003,Source,DiscreteSource,ProcessStart,"""Item_0002""",
1970-01-01 00:00:08.486605256 UTC,_000003,_000002,Process1,DiscreteProcess,ProcessFinish,"""Item_0000""",
1970-01-01 00:00:08.486605256 UTC,_000004,_000003,Process1,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:08.486605256 UTC,_000005,_000004,Process1,DiscreteProcess,ProcessStart,"""Item_0001""",
1970-01-01 00:00:08.486605257 UTC,_000001,_000001,Process2,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:08.486605257 UTC,_000002,_000001,Process2,DiscreteProcess,ProcessStart,"""Item_0000""",
1970-01-01 00:00:09 UTC,_000005,_000004,Source,DiscreteSource,ProcessFinish,"""Item_0002""",
1970-01-01 00:00:09 UTC,_000006,_000005,Source,DiscreteSource,ProcessStart,"""Item_0003""",
1970-01-01 00:00:12 UTC,_000007,_000006,Source,DiscreteSource,ProcessFinish,"""Item_0003""",
1970-01-01 00:00:12 UTC,_000008,_000007,Source,DiscreteSource,ProcessStart,"""Item_0004""",
1970-01-01 00:00:13.931975003 UTC,_000006,_000005,Process1,DiscreteProcess,ProcessFinish,"""Item_0001""",
1970-01-01 00:00:13.931975003 UTC,_000007,_000006,Process1,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:13.931975003 UTC,_000008,_000007,Process1,DiscreteProcess,ProcessStart,"""Item_0002""",
1970-01-01 00:00:15 UTC,_000009,_000008,Source,DiscreteSource,ProcessFinish,"""Item_0004""",
1970-01-01 00:00:15 UTC,_000010,_000009,Source,DiscreteSource,ProcessStart,"""Item_0005""",
1970-01-01 00:00:15.274331597 UTC,_000003,_000002,Process2,DiscreteProcess,ProcessFinish,"""Item_0000""",
1970-01-01 00:00:15.274331597 UTC,_000004,_000003,Process2,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:15.274331597 UTC,_000005,_000004,Process2,DiscreteProcess,ProcessStart,"""Item_0001""",
1970-01-01 00:00:15.274331598 UTC,_000001,_000001,Sink,DiscreteSink,WithdrawRequest,,
1970-01-01 00:00:15.274331598 UTC,_000002,_000001,Sink,DiscreteSink,ProcessStart,"""Item_0000""",
1970-01-01 00:00:16.274331598 UTC,_000003,_000002,Sink,DiscreteSink,ProcessFinish,"""Item_0000""",
1970-01-01 00:00:16.274331598 UTC,_000004,_000003,Sink,DiscreteSink,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:17.592179849 UTC,_000006,_000005,Process2,DiscreteProcess,ProcessFinish,"""Item_0001""",
1970-01-01 00:00:17.592179849 UTC,_000007,_000006,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:17.592179850 UTC,_000005,_000005,Sink,DiscreteSink,WithdrawRequest,,
1970-01-01 00:00:17.592179850 UTC,_000006,_000005,Sink,DiscreteSink,ProcessStart,"""Item_0001""",
1970-01-01 00:00:17.592179850 UTC,_000008,_000005,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:17.592179851 UTC,_000009,_000007,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:18 UTC,_000011,_000010,Source,DiscreteSource,ProcessFinish,"""Item_0005""",
1970-01-01 00:00:18 UTC,_000012,_000011,Source,DiscreteSource,ProcessStart,"""Item_0006""",
1970-01-01 00:00:18.592179850 UTC,_000007,_000006,Sink,DiscreteSink,ProcessFinish,"""Item_0001""",
1970-01-01 00:00:18.592179850 UTC,_000008,_000007,Sink,DiscreteSink,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:21 UTC,_000013,_000012,Source,DiscreteSource,ProcessFinish,"""Item_0006""",
1970-01-01 00:00:21 UTC,_000014,_000013,Source,DiscreteSource,ProcessStart,"""Item_0007""",
1970-01-01 00:00:23.080910402 UTC,_000009,_000008,Process1,DiscreteProcess,ProcessFinish,"""Item_0002""",
1970-01-01 00:00:23.080910402 UTC,_000010,_000009,Process1,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:23.080910402 UTC,_000011,_000010,Process1,DiscreteProcess,ProcessStart,"""Item_0003""",
1970-01-01 00:00:23.080910403 UTC,_000010,_000009,Process2,DiscreteProcess,WithdrawRequest,,
1970-01-01 00:00:23.080910403 UTC,_000011,_000010,Process2,DiscreteProcess,ProcessStart,"""Item_0002""",
1970-01-01 00:00:24 UTC,_000015,_000014,Source,DiscreteSource,ProcessFinish,"""Item_0007""",
1970-01-01 00:00:24 UTC,_000016,_000015,Source,DiscreteSource,ProcessStart,"""Item_0008""",
1970-01-01 00:00:26.941561569 UTC,_000012,_000011,Process2,DiscreteProcess,ProcessFinish,"""Item_0002""",
1970-01-01 00:00:26.941561569 UTC,_000013,_000012,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:26.941561570 UTC,_000009,_000009,Sink,DiscreteSink,WithdrawRequest,,
1970-01-01 00:00:26.941561570 UTC,_000014,_000009,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:26.941561570 UTC,_000010,_000009,Sink,DiscreteSink,ProcessStart,"""Item_0002""",
1970-01-01 00:00:26.941561571 UTC,_000015,_000011,Process2,DiscreteProcess,ProcessNonStart,,Upstream is empty
1970-01-01 00:00:27 UTC,_000017,_000016,Source,DiscreteSource,ProcessFinish,"""Item_0008""",
1970-01-01 00:00:27 UTC,_000018,_000017,Source,DiscreteSource,ProcessStart,"""Item_0009""",
1970-01-01 00:00:27.941561570 UTC,_000011,_000010,Sink,DiscreteSink,ProcessFinish,"""Item_0002""",
1970-01-01 00:00:27.941561570 UTC,_000012,_000011,Sink,DiscreteSink,ProcessNonStart,,Upstream is empty
