time,event_id,source_event_id,element_name,element_type,log_type,item,reason
1970-01-01 00:00:03 UTC,_000000,_000001,Queue1,DiscreteStock,Add,"""Item_0000""",
1970-01-01 00:00:03.000000001 UTC,_000001,_000000,Queue1,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:03.000000001 UTC,_000002,_000001,Queue1,DiscreteStock,Remove,"""Item_0000""",
1970-01-01 00:00:03.000000002 UTC,_000003,_000002,Queue1,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:06 UTC,_000004,_000003,Queue1,DiscreteStock,Add,"""Item_0001""",
1970-01-01 00:00:06.000000001 UTC,_000005,_000004,Queue1,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:08.486605256 UTC,_000000,_000003,Queue2,DiscreteStock,Add,"""Item_0000""",
1970-01-01 00:00:08.486605256 UTC,_000006,_000004,Queue1,DiscreteStock,Remove,"""Item_0001""",
1970-01-01 00:00:08.486605257 UTC,_000007,_000006,Queue1,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:08.486605257 UTC,_000001,_000000,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:08.486605257 UTC,_000002,_000001,Queue2,DiscreteStock,Remove,"""Item_0000""",
1970-01-01 00:00:08.486605258 UTC,_000003,_000002,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:09 UTC,_000008,_000005,Queue1,DiscreteStock,Add,"""Item_0002""",
1970-01-01 00:00:09.000000001 UTC,_000009,_000008,Queue1,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:12 UTC,_000010,_000007,Queue1,DiscreteStock,Add,"""Item_0003""",
1970-01-01 00:00:13.931975003 UTC,_000004,_000006,Queue2,DiscreteStock,Add,"""Item_0001""",
1970-01-01 00:00:13.931975003 UTC,_000011,_000007,Queue1,DiscreteStock,Remove,"""Item_0002""",
1970-01-01 00:00:13.931975004 UTC,_000005,_000004,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:15 UTC,_000012,_000009,Queue1,DiscreteStock,Add,"""Item_0004""",
1970-01-01 00:00:15.274331597 UTC,_000000,_000003,Queue3,DiscreteStock,Add,"""Item_0000""",
1970-01-01 00:00:15.274331597 UTC,_000006,_000004,Queue2,DiscreteStock,Remove,"""Item_0001""",
1970-01-01 00:00:15.274331598 UTC,_000007,_000006,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:15.274331598 UTC,_000001,_000000,Queue3,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:15.274331598 UTC,_000002,_000001,Queue3,DiscreteStock,Remove,"""Item_0000""",
1970-01-01 00:00:15.274331599 UTC,_000003,_000002,Queue3,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:17.592179849 UTC,_000004,_000006,Queue3,DiscreteStock,Add,"""Item_0001""",
1970-01-01 00:00:17.592179850 UTC,_000005,_000004,Queue3,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:17.592179850 UTC,_000006,_000005,Queue3,DiscreteStock,Remove,"""Item_0001""",
1970-01-01 00:00:17.592179851 UTC,_000007,_000006,Queue3,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:18 UTC,_000013,_000011,Queue1,DiscreteStock,Add,"""Item_0005""",
1970-01-01 00:00:21 UTC,_000014,_000013,Queue1,DiscreteStock,Add,"""Item_0006""",
1970-01-01 00:00:23.080910402 UTC,_000008,_000009,Queue2,DiscreteStock,Add,"""Item_0002""",
1970-01-01 00:00:23.080910402 UTC,_000015,_000010,Queue1,DiscreteStock,Remove,"""Item_0003""",
1970-01-01 00:00:23.080910403 UTC,_000009,_000008,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:23.080910403 UTC,_000010,_000010,Queue2,DiscreteStock,Remove,"""Item_0002""",
1970-01-01 00:00:23.080910404 UTC,_000011,_000010,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:24 UTC,_000016,_000015,Queue1,DiscreteStock,Add,"""Item_0007""",
1970-01-01 00:00:26.941561569 UTC,_000008,_000012,Queue3,DiscreteStock,Add,"""Item_0002""",
1970-01-01 00:00:26.941561570 UTC,_000009,_000008,Queue3,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:26.941561570 UTC,_000010,_000009,Queue3,DiscreteStock,Remove,"""Item_0002""",
1970-01-01 00:00:26.941561571 UTC,_000011,_000010,Queue3,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:27 UTC,_000017,_000017,Queue1,DiscreteStock,Add,"""Item_0008""",
1970-01-01 00:00:28.641340780 UTC,_000012,_000012,Queue2,DiscreteStock,Add,"""Item_0003""",
1970-01-01 00:00:28.641340780 UTC,_000018,_000013,Queue1,DiscreteStock,Remove,"""Item_0004""",
1970-01-01 00:00:28.641340781 UTC,_000013,_000012,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:28.641340781 UTC,_000014,_000016,Queue2,DiscreteStock,Remove,"""Item_0003""",
1970-01-01 00:00:28.641340782 UTC,_000015,_000014,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:30 UTC,_000019,_000019,Queue1,DiscreteStock,Add,"""Item_0009""",
1970-01-01 00:00:33 UTC,_000020,_000021,Queue1,DiscreteStock,Add,"""Item_0010""",
1970-01-01 00:00:33.572050121 UTC,_000012,_000018,Queue3,DiscreteStock,Add,"""Item_0003""",
1970-01-01 00:00:33.572050122 UTC,_000013,_000012,Queue3,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:33.572050122 UTC,_000014,_000013,Queue3,DiscreteStock,Remove,"""Item_0003""",
1970-01-01 00:00:33.572050123 UTC,_000015,_000014,Queue3,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:36 UTC,_000021,_000023,Queue1,DiscreteStock,Add,"""Item_0011""",
1970-01-01 00:00:36.716462810 UTC,_000016,_000015,Queue2,DiscreteStock,Add,"""Item_0004""",
1970-01-01 00:00:36.716462810 UTC,_000022,_000016,Queue1,DiscreteStock,Remove,"""Item_0005""",
1970-01-01 00:00:36.716462811 UTC,_000017,_000016,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:36.716462811 UTC,_000018,_000022,Queue2,DiscreteStock,Remove,"""Item_0004""",
1970-01-01 00:00:36.716462812 UTC,_000019,_000018,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:39 UTC,_000023,_000025,Queue1,DiscreteStock,Add,"""Item_0012""",
1970-01-01 00:00:42 UTC,_000024,_000027,Queue1,DiscreteStock,Add,"""Item_0013""",
1970-01-01 00:00:42.344275633 UTC,_000016,_000024,Queue3,DiscreteStock,Add,"""Item_0004""",
1970-01-01 00:00:42.344275634 UTC,_000017,_000016,Queue3,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:42.344275634 UTC,_000018,_000017,Queue3,DiscreteStock,Remove,"""Item_0004""",
1970-01-01 00:00:42.344275635 UTC,_000019,_000018,Queue3,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:45 UTC,_000025,_000029,Queue1,DiscreteStock,Add,"""Item_0014""",
1970-01-01 00:00:45.283352182 UTC,_000020,_000018,Queue2,DiscreteStock,Add,"""Item_0005""",
1970-01-01 00:00:45.283352182 UTC,_000026,_000019,Queue1,DiscreteStock,Remove,"""Item_0006""",
1970-01-01 00:00:45.283352183 UTC,_000021,_000020,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:45.283352183 UTC,_000022,_000028,Queue2,DiscreteStock,Remove,"""Item_0005""",
1970-01-01 00:00:45.283352184 UTC,_000023,_000022,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:48 UTC,_000027,_000031,Queue1,DiscreteStock,Add,"""Item_0015""",
1970-01-01 00:00:51 UTC,_000028,_000033,Queue1,DiscreteStock,Add,"""Item_0016""",
1970-01-01 00:00:51.000000001 UTC,_000029,_000028,Queue1,DiscreteStock,StateChange,"{""Full"":{""occupied"":10,""empty"":0}}",
1970-01-01 00:00:51.432808096 UTC,_000024,_000021,Queue2,DiscreteStock,Add,"""Item_0006""",
1970-01-01 00:00:51.432808096 UTC,_000030,_000022,Queue1,DiscreteStock,Remove,"""Item_0007""",
1970-01-01 00:00:51.432808097 UTC,_000031,_000030,Queue1,DiscreteStock,StateChange,"{""Normal"":{""occupied"":9,""empty"":1}}",
1970-01-01 00:00:51.432808097 UTC,_000025,_000024,Queue2,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:54.059392957 UTC,_000020,_000030,Queue3,DiscreteStock,Add,"""Item_0005""",
1970-01-01 00:00:54.059392957 UTC,_000026,_000031,Queue2,DiscreteStock,Remove,"""Item_0006""",
1970-01-01 00:00:54.059392958 UTC,_000027,_000026,Queue2,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:54.059392958 UTC,_000021,_000020,Queue3,DiscreteStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
1970-01-01 00:00:54.059392958 UTC,_000022,_000021,Queue3,DiscreteStock,Remove,"""Item_0005""",
1970-01-01 00:00:54.059392959 UTC,_000023,_000022,Queue3,DiscreteStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
1970-01-01 00:00:54.432808097 UTC,_000032,_000037,Queue1,DiscreteStock,Add,"""Item_0017""",
1970-01-01 00:00:54.432808098 UTC,_000033,_000032,Queue1,DiscreteStock,StateChange,"{""Full"":{""occupied"":10,""empty"":0}}",
1970-01-01 00:00:56.964555940 UTC,_000028,_000024,Queue2,DiscreteStock,Add,"""Item_0007""",
1970-01-01 00:00:56.964555940 UTC,_000034,_000025,Queue1,DiscreteStock,Remove,"""Item_0008""",
