time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:00:00 UTC,RC2_000000,RC2_000000,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:00:00 UTC,RC3_000000,RC3_000000,Reclaimer 3,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:00:00 UTC,STK_000000,STK_000000,Stacker,VectorSplitter,ProcessFailure,,,,At least one downstream is full
2025-01-01 00:00:00 UTC,RC1_000000,RC1_000000,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:00:00 UTC,RC3_000001,RC3_000000,Reclaimer 3,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",,
2025-01-01 00:00:00 UTC,RC2_000001,RC2_000000,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.0,""y"":50.0,""z"":0.0}]",,
2025-01-01 00:00:00 UTC,RC1_000001,RC1_000000,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:00:00.000000001 UTC,STK_000001,SP3_000001,Stacker,VectorSplitter,ProcessFailure,,,,Upstream is empty
2025-01-01 00:00:30 UTC,RC1_000002,RC1_000001,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:00:30 UTC,RC2_000002,RC2_000001,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.0,""y"":125.0,""z"":25.0}]",
2025-01-01 00:00:30 UTC,RC1_000003,RC1_000002,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:00:30 UTC,RC2_000003,RC2_000002,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:00:30 UTC,RC1_000004,RC1_000003,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:00:30 UTC,RC2_000004,RC2_000003,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.00000000000001,""y"":50.00000000000001,""z"":0.0}]",,
2025-01-01 00:00:30.000000001 UTC,STK_000002,OSP1_000001,Stacker,VectorSplitter,WithdrawRequest,,,,
2025-01-01 00:00:30.000000001 UTC,STK_000003,STK_000002,Stacker,VectorSplitter,SplitStart,600.0,"[{""x"":240.0,""y"":285.0,""z"":75.0}]",,
2025-01-01 00:01:00 UTC,RC1_000005,RC1_000004,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:01:00 UTC,RC2_000005,RC2_000004,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.00000000000001,""y"":125.0,""z"":25.0}]",
2025-01-01 00:01:00 UTC,RC1_000006,RC1_000005,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:01:00 UTC,RC2_000006,RC2_000005,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:01:00 UTC,RC2_000007,RC2_000006,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":49.99999999999999,""y"":49.99999999999999,""z"":0.0}]",,
2025-01-01 00:01:00 UTC,RC3_000002,RC3_000001,Reclaimer 3,VectorCombiner,CombineSuccess,100.0,,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",
2025-01-01 00:01:00 UTC,RC1_000007,RC1_000006,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:01:00 UTC,RC3_000003,RC3_000002,Reclaimer 3,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:01:00 UTC,RC3_000004,RC3_000003,Reclaimer 3,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",,
2025-01-01 00:01:30 UTC,RC1_000008,RC1_000007,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:01:30 UTC,RC2_000008,RC2_000007,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":49.99999999999999,""y"":125.0,""z"":25.0}]",
2025-01-01 00:01:30 UTC,RC1_000009,RC1_000008,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:01:30 UTC,RC1_000010,RC1_000009,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:01:30 UTC,RC2_000009,RC2_000008,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:01:30 UTC,RC2_000010,RC2_000009,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.0,""y"":50.0,""z"":0.0}]",,
2025-01-01 00:02:00 UTC,RC1_000011,RC1_000010,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:02:00 UTC,RC1_000012,RC1_000011,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:02:00 UTC,RC3_000005,RC3_000004,Reclaimer 3,VectorCombiner,CombineSuccess,100.0,,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",
2025-01-01 00:02:00 UTC,RC2_000011,RC2_000010,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.0,""y"":125.0,""z"":25.0}]",
2025-01-01 00:02:00 UTC,RC1_000013,RC1_000012,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:02:00 UTC,RC3_000006,RC3_000005,Reclaimer 3,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:02:00 UTC,RC3_000007,RC3_000006,Reclaimer 3,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",,
2025-01-01 00:02:00 UTC,RC2_000012,RC2_000011,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:02:00 UTC,RC2_000013,RC2_000012,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.0,""y"":50.0,""z"":0.0}]",,
2025-01-01 00:02:30 UTC,RC1_000014,RC1_000013,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:02:30 UTC,RC2_000014,RC2_000013,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.0,""y"":125.0,""z"":25.0}]",
2025-01-01 00:02:30 UTC,RC1_000015,RC1_000014,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:02:30 UTC,RC2_000015,RC2_000014,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:02:30 UTC,RC1_000016,RC1_000015,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:02:30 UTC,RC2_000016,RC2_000015,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.0,""y"":50.0,""z"":0.0}]",,
2025-01-01 00:03:00 UTC,RC1_000017,RC1_000016,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:03:00 UTC,RC2_000017,RC2_000016,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.0,""y"":125.0,""z"":25.0}]",
2025-01-01 00:03:00 UTC,RC3_000008,RC3_000007,Reclaimer 3,VectorCombiner,CombineSuccess,100.0,,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",
2025-01-01 00:03:00 UTC,RC2_000018,RC2_000017,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:03:00 UTC,RC3_000009,RC3_000008,Reclaimer 3,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:03:00 UTC,RC1_000018,RC1_000017,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:03:00 UTC,RC3_000010,RC3_000009,Reclaimer 3,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",,
2025-01-01 00:03:00 UTC,RC2_000019,RC2_000018,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.0,""y"":50.0,""z"":0.0}]",,
2025-01-01 00:03:00 UTC,RC1_000019,RC1_000018,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:03:30 UTC,RC1_000020,RC1_000019,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:03:30 UTC,RC2_000020,RC2_000019,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.0,""y"":125.0,""z"":25.0}]",
2025-01-01 00:03:30 UTC,RC1_000021,RC1_000020,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:03:30 UTC,RC2_000021,RC2_000020,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:03:30 UTC,RC1_000022,RC1_000021,Reclaimer 1,VectorCombiner,CombineStart,100.0,"[{""x"":80.0,""y"":20.0,""z"":0.0},{""x"":0.0,""y"":75.0,""z"":25.0}]",,
2025-01-01 00:03:30 UTC,RC2_000022,RC2_000021,Reclaimer 2,VectorCombiner,CombineStart,100.0,"[{""x"":0.0,""y"":75.0,""z"":25.0},{""x"":50.00000000000001,""y"":50.00000000000001,""z"":0.0}]",,
2025-01-01 00:04:00 UTC,RC1_000023,RC1_000022,Reclaimer 1,VectorCombiner,CombineSuccess,200.0,,"[{""x"":80.0,""y"":95.0,""z"":25.0}]",
2025-01-01 00:04:00 UTC,RC2_000023,RC2_000022,Reclaimer 2,VectorCombiner,CombineSuccess,200.0,,"[{""x"":50.00000000000001,""y"":125.0,""z"":25.0}]",
2025-01-01 00:04:00 UTC,RC3_000011,RC3_000010,Reclaimer 3,VectorCombiner,CombineSuccess,100.0,,"[{""x"":80.0,""y"":20.0,""z"":0.0}]",
2025-01-01 00:04:00 UTC,RC2_000024,RC2_000023,Reclaimer 2,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:04:00 UTC,RC1_000024,RC1_000023,Reclaimer 1,VectorCombiner,WithdrawRequest,,,,
2025-01-01 00:04:00 UTC,RC3_000012,RC3_000011,Reclaimer 3,VectorCombiner,WithdrawRequest,,,,
