time,event_id,source_event_id,element_name,element_type,log_type,balance,vector_total,vector,new_state
2025-01-01 00:00:00 UTC,SP3_000000,RC2_000000,Stockpile 3,VectorStock,remove,9900.0,100.0,"{""x"":50.0,""y"":50.0,""z"":0.0}",
2025-01-01 00:00:00 UTC,SP2_000000,RC2_000000,Stockpile 2,VectorStock,remove,7900.0,100.0,"{""x"":0.0,""y"":75.0,""z"":25.0}",
2025-01-01 00:00:00 UTC,SP1_000000,RC3_000000,Stockpile 1,VectorStock,remove,9900.0,100.0,"{""x"":80.0,""y"":20.0,""z"":0.0}",
2025-01-01 00:00:00 UTC,SP2_000001,RC1_000000,Stockpile 2,VectorStock,remove,7800.0,100.0,"{""x"":0.0,""y"":75.0,""z"":25.0}",
2025-01-01 00:00:00 UTC,SP1_000001,RC1_000000,Stockpile 1,VectorStock,remove,9800.0,100.0,"{""x"":80.0,""y"":20.0,""z"":0.0}",
2025-01-01 00:00:00.000000001 UTC,SP1_000002,SP1_000000,Stockpile 1,VectorStock,emit_change,,,,Normal
2025-01-01 00:00:00.000000001 UTC,SP3_000001,SP3_000000,Stockpile 3,VectorStock,emit_change,,,,Normal
2025-01-01 00:00:30 UTC,OSP1_000000,RC1_000002,Output Stockpile 1,VectorStock,add,200.0,200.0,"{""x"":80.0,""y"":95.0,""z"":25.0}",
2025-01-01 00:00:30 UTC,OSP2_000000,RC2_000002,Output Stockpile 2,VectorStock,add,200.0,200.0,"{""x"":50.0,""y"":125.0,""z"":25.0}",
2025-01-01 00:00:30 UTC,SP3_000002,RC2_000003,Stockpile 3,VectorStock,remove,9800.0,100.00000000000001,"{""x"":50.00000000000001,""y"":50.00000000000001,""z"":0.0}",
2025-01-01 00:00:30 UTC,SP2_000002,RC1_000003,Stockpile 2,VectorStock,remove,7700.0,100.0,"{""x"":0.0,""y"":75.0,""z"":25.0}",
2025-01-01 00:00:30 UTC,SP1_000003,RC1_000003,Stockpile 1,VectorStock,remove,9700.0,100.0,"{""x"":80.0,""y"":20.0,""z"":0.0}",
2025-01-01 00:00:30 UTC,SP2_000003,RC2_000003,Stockpile 2,VectorStock,remove,7600.0,100.0,"{""x"":0.0,""y"":75.0,""z"":25.0}",
