time,event_id,source_event_id,element_name,element_type,log_type,balance,vector_total,vector,new_state
2025-01-01 00:00:00 UTC,_000000,_000000,Stock 1,VectorStock,remove,99.0,1.0,1.0,
2025-01-01 00:00:01 UTC,_000000,_000002,Stock 2,VectorStock,add,1.0,1.0,1.0,
2025-01-01 00:00:01 UTC,_000001,_000003,Stock 1,VectorStock,remove,98.0,1.0,1.0,
2025-01-01 00:00:02 UTC,_000001,_000005,Stock 2,VectorStock,add,2.0,1.0,1.0,
2025-01-01 00:00:02 UTC,_000002,_000006,Stock 1,VectorStock,remove,97.0,1.0,1.0,
2025-01-01 00:00:03 UTC,_000002,_000008,Stock 2,VectorStock,add,3.0,1.0,1.0,
2025-01-01 00:00:03 UTC,_000003,_000009,Stock 1,VectorStock,remove,96.0,1.0,1.0,
2025-01-01 00:00:04 UTC,_000003,_000011,Stock 2,VectorStock,add,4.0,1.0,1.0,
2025-01-01 00:00:04 UTC,_000004,_000012,Stock 1,VectorStock,remove,95.0,1.0,1.0,
2025-01-01 00:00:05 UTC,_000004,_000014,Stock 2,VectorStock,add,5.0,1.0,1.0,
2025-01-01 00:00:05 UTC,_000005,_000015,Stock 1,VectorStock,remove,94.0,1.0,1.0,
2025-01-01 00:00:06 UTC,_000005,_000017,Stock 2,VectorStock,add,6.0,1.0,1.0,
2025-01-01 00:00:06 UTC,_000006,_000018,Stock 1,VectorStock,remove,93.0,1.0,1.0,
2025-01-01 00:00:07 UTC,_000006,_000020,Stock 2,VectorStock,add,7.0,1.0,1.0,
2025-01-01 00:00:07 UTC,_000007,_000021,Stock 1,VectorStock,remove,92.0,1.0,1.0,
2025-01-01 00:00:08 UTC,_000007,_000023,Stock 2,VectorStock,add,8.0,1.0,1.0,
2025-01-01 00:00:08 UTC,_000008,_000024,Stock 1,VectorStock,remove,91.0,1.0,1.0,
2025-01-01 00:00:09 UTC,_000008,_000026,Stock 2,VectorStock,add,9.0,1.0,1.0,
2025-01-01 00:00:09 UTC,_000009,_000027,Stock 1,VectorStock,remove,90.0,1.0,1.0,
2025-01-01 00:00:10 UTC,_000009,_000029,Stock 2,VectorStock,add,10.0,1.0,1.0,
2025-01-01 00:00:10 UTC,_000010,_000030,Stock 1,VectorStock,remove,89.0,1.0,1.0,
2025-01-01 00:00:11 UTC,_000010,_000032,Stock 2,VectorStock,add,11.0,1.0,1.0,
2025-01-01 00:00:11 UTC,_000011,_000033,Stock 1,VectorStock,remove,88.0,1.0,1.0,
2025-01-01 00:00:12 UTC,_000011,_000035,Stock 2,VectorStock,add,12.0,1.0,1.0,
2025-01-01 00:00:12 UTC,_000012,_000036,Stock 1,VectorStock,remove,87.0,1.0,1.0,
2025-01-01 00:00:13 UTC,_000012,_000038,Stock 2,VectorStock,add,13.0,1.0,1.0,
2025-01-01 00:00:13 UTC,_000013,_000039,Stock 1,VectorStock,remove,86.0,1.0,1.0,
2025-01-01 00:00:14 UTC,_000013,_000041,Stock 2,VectorStock,add,14.0,1.0,1.0,
2025-01-01 00:00:14 UTC,_000014,_000042,Stock 1,VectorStock,remove,85.0,1.0,1.0,
2025-01-01 00:00:15 UTC,_000014,_000044,Stock 2,VectorStock,add,15.0,1.0,1.0,
2025-01-01 00:00:15 UTC,_000015,_000045,Stock 1,VectorStock,remove,84.0,1.0,1.0,
2025-01-01 00:00:16 UTC,_000015,_000047,Stock 2,VectorStock,add,16.0,1.0,1.0,
2025-01-01 00:00:16 UTC,_000016,_000048,Stock 1,VectorStock,remove,83.0,1.0,1.0,
2025-01-01 00:00:17 UTC,_000016,_000050,Stock 2,VectorStock,add,17.0,1.0,1.0,
2025-01-01 00:00:17 UTC,_000017,_000051,Stock 1,VectorStock,remove,82.0,1.0,1.0,
2025-01-01 00:00:18 UTC,_000017,_000053,Stock 2,VectorStock,add,18.0,1.0,1.0,
2025-01-01 00:00:18 UTC,_000018,_000054,Stock 1,VectorStock,remove,81.0,1.0,1.0,
2025-01-01 00:00:19 UTC,_000018,_000056,Stock 2,VectorStock,add,19.0,1.0,1.0,
2025-01-01 00:00:19 UTC,_000019,_000057,Stock 1,VectorStock,remove,80.0,1.0,1.0,
2025-01-01 00:00:20 UTC,_000019,_000059,Stock 2,VectorStock,add,20.0,1.0,1.0,
2025-01-01 00:00:20 UTC,_000020,_000060,Stock 1,VectorStock,remove,79.0,1.0,1.0,
