time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:00:00 UTC,_000000,_000000,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:00 UTC,_000000,INIT_000000,Process,VectorProcess,ProcessFailure,,,,Upstream is empty
2025-01-01 00:00:00 UTC,_000000,_000000,Sink,VectorSink,ProcessFailure,,,,Upstream is empty
2025-01-01 00:00:01 UTC,_000001,_000000,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:01 UTC,_000002,_000001,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:02 UTC,_000003,_000002,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:02 UTC,_000004,_000003,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:03 UTC,_000005,_000004,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:03 UTC,_000006,_000005,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:04 UTC,_000007,_000006,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:04 UTC,_000008,_000007,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:05 UTC,_000009,_000008,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:05 UTC,_000010,_000009,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:06 UTC,_000011,_000010,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:06 UTC,_000012,_000011,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:07 UTC,_000013,_000012,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:07 UTC,_000014,_000013,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:08 UTC,_000015,_000014,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:08 UTC,_000016,_000015,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:09 UTC,_000017,_000016,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:09 UTC,_000018,_000017,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:10 UTC,_000019,_000018,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:10 UTC,_000020,_000019,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:11 UTC,_000021,_000020,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:11 UTC,_000022,_000021,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:12 UTC,_000023,_000022,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:12 UTC,_000024,_000023,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:13 UTC,_000025,_000024,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:13 UTC,_000026,_000025,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:14 UTC,_000027,_000026,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:14 UTC,_000028,_000027,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:15 UTC,_000029,_000028,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:15 UTC,_000030,_000029,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:16 UTC,_000031,_000030,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:16 UTC,_000032,_000031,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:17 UTC,_000033,_000032,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:17 UTC,_000034,_000033,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:18 UTC,_000035,_000034,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:18 UTC,_000036,_000035,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:19 UTC,_000037,_000036,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:19 UTC,_000038,_000037,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:20 UTC,_000039,_000038,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:20 UTC,_000040,_000039,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:21 UTC,_000041,_000040,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:00:21 UTC,_000042,_000041,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:00:22 UTC,_000043,_000042,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
