time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:00:00 UTC,_000000,INIT_000000,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:00 UTC,_000001,_000000,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:01 UTC,_000002,_000001,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:01 UTC,_000003,_000002,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:01 UTC,_000004,_000003,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.9999999999999999,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:02 UTC,_000005,_000004,Process,VectorProcess,ProcessSuccess,0.9999999999999999,,"[{""x"":0.9999999999999999,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:02 UTC,_000006,_000005,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:02 UTC,_000007,_000006,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:03 UTC,_000008,_000007,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:03 UTC,_000009,_000008,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:03 UTC,_000010,_000009,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:04 UTC,_000011,_000010,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:04 UTC,_000012,_000011,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:04 UTC,_000013,_000012,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:05 UTC,_000014,_000013,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:05 UTC,_000015,_000014,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:05 UTC,_000016,_000015,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:06 UTC,_000017,_000016,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:06 UTC,_000018,_000017,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:06 UTC,_000019,_000018,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:06.760980484 UTC,_000020,_000019,Process,VectorProcess,DelayStart,,,,ShortDelay
2025-01-01 00:00:07.760980484 UTC,_000021,_000020,Process,VectorProcess,DelayEnd,,,,ShortDelay
2025-01-01 00:00:08 UTC,_000022,_000021,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:08 UTC,_000023,_000022,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:08 UTC,_000024,_000023,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:09 UTC,_000025,_000024,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:09 UTC,_000026,_000025,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:09 UTC,_000027,_000026,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:10 UTC,_000028,_000027,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:10 UTC,_000029,_000028,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:10 UTC,_000030,_000029,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:11 UTC,_000031,_000030,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:11 UTC,_000032,_000031,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:11 UTC,_000033,_000032,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:12 UTC,_000034,_000033,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:12 UTC,_000035,_000034,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:12 UTC,_000036,_000035,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:12.842019421 UTC,_000037,_000036,Process,VectorProcess,DelayStart,,,,ShortDelay
2025-01-01 00:00:13.842019421 UTC,_000038,_000037,Process,VectorProcess,DelayEnd,,,,ShortDelay
2025-01-01 00:00:14 UTC,_000039,_000038,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:14 UTC,_000040,_000039,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:14 UTC,_000041,_000040,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:15 UTC,_000042,_000041,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:15 UTC,_000043,_000042,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:15 UTC,_000044,_000043,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:16 UTC,_000045,_000044,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:16 UTC,_000046,_000045,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:16 UTC,_000047,_000046,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:17 UTC,_000048,_000047,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:17 UTC,_000049,_000048,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:17 UTC,_000050,_000049,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:18 UTC,_000051,_000050,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:18 UTC,_000052,_000051,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:18 UTC,_000053,_000052,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:19 UTC,_000054,_000053,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:19 UTC,_000055,_000054,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:19 UTC,_000056,_000055,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:20 UTC,_000057,_000056,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:20 UTC,_000058,_000057,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:20 UTC,_000059,_000058,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:20.332889527 UTC,_000060,_000059,Process,VectorProcess,DelayStart,,,,ShortDelay
2025-01-01 00:00:21.332889527 UTC,_000061,_000060,Process,VectorProcess,DelayEnd,,,,ShortDelay
2025-01-01 00:00:22 UTC,_000062,_000061,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:22 UTC,_000063,_000062,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:22 UTC,_000064,_000063,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:23 UTC,_000065,_000064,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:23 UTC,_000066,_000065,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:23 UTC,_000067,_000066,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:24 UTC,_000068,_000067,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:24 UTC,_000069,_000068,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:24 UTC,_000070,_000069,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:25 UTC,_000071,_000070,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:25 UTC,_000072,_000071,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:25 UTC,_000073,_000072,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:26 UTC,_000074,_000073,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:26 UTC,_000075,_000074,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:26 UTC,_000076,_000075,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:27 UTC,_000077,_000076,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:27 UTC,_000078,_000077,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:27 UTC,_000079,_000078,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:28 UTC,_000080,_000079,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:28 UTC,_000081,_000080,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:28 UTC,_000082,_000081,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:29 UTC,_000083,_000082,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:29 UTC,_000084,_000083,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:29 UTC,_000085,_000084,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:30 UTC,_000086,_000085,Process,VectorProcess,ProcessSuccess,1.0,,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",
2025-01-01 00:00:30 UTC,_000087,_000086,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:00:30 UTC,_000088,_000087,Process,VectorProcess,ProcessStart,1.0,"[{""x"":1.0,""y"":0.0,""z"":0.0}]",,
2025-01-01 00:00:30.047993847 UTC,_000089,_000088,Process,VectorProcess,DelayStart,,,,ShortDelay
2025-01-01 00:00:31.047993847 UTC,_000090,_000089,Process,VectorProcess,DelayEnd,,,,ShortDelay
