time,event_id,source_event_id,element_name,element_type,log_type,balance,vector_total,vector,new_state
2025-01-01 00:00:00 UTC,_000000,_000000,Stock 1,VectorStock,remove,98.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:01 UTC,_000000,_000002,Stock 2,VectorStock,add,1.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:01 UTC,_000001,_000003,Stock 1,VectorStock,remove,97.0,0.9999999999999999,"{""x"":0.9999999999999999,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:02 UTC,_000001,_000005,Stock 2,VectorStock,add,2.0,0.9999999999999999,"{""x"":0.9999999999999999,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:02 UTC,_000002,_000006,Stock 1,VectorStock,remove,96.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:03 UTC,_000002,_000008,Stock 2,VectorStock,add,3.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:03 UTC,_000003,_000009,Stock 1,VectorStock,remove,95.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:04 UTC,_000003,_000011,Stock 2,VectorStock,add,4.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:04 UTC,_000004,_000012,Stock 1,VectorStock,remove,94.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:05 UTC,_000004,_000014,Stock 2,VectorStock,add,5.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:05 UTC,_000005,_000015,Stock 1,VectorStock,remove,93.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:06 UTC,_000005,_000017,Stock 2,VectorStock,add,6.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:06 UTC,_000006,_000018,Stock 1,VectorStock,remove,92.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:08 UTC,_000006,_000022,Stock 2,VectorStock,add,7.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:08 UTC,_000007,_000023,Stock 1,VectorStock,remove,91.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:09 UTC,_000007,_000025,Stock 2,VectorStock,add,8.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:09 UTC,_000008,_000026,Stock 1,VectorStock,remove,90.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:10 UTC,_000008,_000028,Stock 2,VectorStock,add,9.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
2025-01-01 00:00:10 UTC,_000009,_000029,Stock 1,VectorStock,remove,89.0,1.0,"{""x"":1.0,""y"":0.0,""z"":0.0}",
