time,event_id,element_name,element_type,event_type,truck_id,total,fe,other_elements,fe_%,magnetite,hematite,limonite,message
2025-05-01 00:00:00 UTC,PR-LOADING_000000,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:00 UTC,PR-LOADING_000001,loading_process,LoadingProcess,ProcessStart,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:00:00 UTC,PR-LOADMOV_000000,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:00 UTC,PR-DUMPING_000000,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:00:00 UTC,PR-DUMPMOV_000000,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:00.533123939 UTC,PR-LOADING_000002,loading_process,LoadingProcess,ProcessSuccess,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:00:00.533123939 UTC,PR-LOADING_000003,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:00.533123939 UTC,PR-LOADING_000004,loading_process,LoadingProcess,ProcessStart,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:00:00.533123940 UTC,PR-LOADMOV_000001,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:00.533123940 UTC,PR-LOADMOV_000002,loaded_truck_movements,LoadedTruckMovements,TruckMovementStart,Truck_00,,,,,,,,
2025-05-01 00:00:00.533123940 UTC,PR-LOADMOV_000003,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:00.533123941 UTC,PR-LOADMOV_000004,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:06.930611209 UTC,PR-LOADMOV_000005,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_00,,,,,,,,
2025-05-01 00:00:06.930611209 UTC,PR-LOADMOV_000006,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:06.930611210 UTC,PR-LOADMOV_000007,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:06.930611210 UTC,PR-DUMPING_000001,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:06.930611210 UTC,PR-DUMPING_000002,dumping_process,DumpingProcess,ProcessStart,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:00:06.930611211 UTC,PR-LOADMOV_000008,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:09.952383939 UTC,PR-DUMPING_000003,dumping_process,DumpingProcess,ProcessSuccess,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:00:09.952383939 UTC,PR-DUMPING_000004,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:00:09.952383940 UTC,PR-DUMPMOV_000001,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:09.952383940 UTC,PR-DUMPMOV_000002,dumped_truck_movements,DumpedTruckMovements,TruckMovementStart,Truck_00,,,,,,,,
2025-05-01 00:00:09.952383940 UTC,PR-DUMPING_000005,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:00:09.952383940 UTC,PR-DUMPMOV_000003,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:09.952383941 UTC,PR-DUMPMOV_000004,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:00:09.952383941 UTC,PR-DUMPING_000006,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:00:14.727475740 UTC,PR-LOADING_000005,loading_process,LoadingProcess,ProcessSuccess,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:00:14.727475740 UTC,PR-LOADING_000006,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
