time,event_id,source_event_id,element_name,element_type,log_type,item,reason
2025-05-01 00:00:00 UTC,ST-TR0_000000,PR-LOADING_000000,trucks_ready_to_load,TruckStock,Remove,"{""ore"":null,""truck_id"":""Truck_00""}",
2025-05-01 00:00:00 UTC,ST-TR1_000000,PR-LOADMOV_000000,trucks_loaded,TruckStock,Remove,null,
2025-05-01 00:00:00 UTC,ST-TR3_000000,PR-DUMPMOV_000000,trucks_dumped,TruckStock,Remove,null,
2025-05-01 00:00:00.533123939 UTC,ST-TR1_000001,PR-LOADING_000002,trucks_loaded,TruckStock,Add,"{""ore"":{""fe"":3.0,""other_elements"":2.0,""magnetite"":0.5,""hematite"":0.25,""limonite"":0.75},""truck_id"":""Truck_00""}",
2025-05-01 00:00:00.533123939 UTC,ST-TR0_000001,PR-LOADING_000003,trucks_ready_to_load,TruckStock,Remove,"{""ore"":null,""truck_id"":""Truck_01""}",
2025-05-01 00:00:00.533123940 UTC,ST-TR1_000002,ST-TR1_000001,trucks_loaded,TruckStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-05-01 00:00:00.533123940 UTC,ST-TR1_000003,PR-LOADMOV_000001,trucks_loaded,TruckStock,Remove,"{""ore"":{""fe"":3.0,""other_elements"":2.0,""magnetite"":0.5,""hematite"":0.25,""limonite"":0.75},""truck_id"":""Truck_00""}",
2025-05-01 00:00:00.533123940 UTC,ST-TR1_000004,PR-LOADMOV_000003,trucks_loaded,TruckStock,Remove,null,
2025-05-01 00:00:00.533123941 UTC,ST-TR1_000005,ST-TR1_000003,trucks_loaded,TruckStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-05-01 00:00:00.533123941 UTC,ST-TR1_000006,PR-LOADMOV_000004,trucks_loaded,TruckStock,Remove,null,
2025-05-01 00:00:06.930611209 UTC,ST-TR1_000007,PR-LOADMOV_000006,trucks_loaded,TruckStock,Remove,null,
2025-05-01 00:00:06.930611209 UTC,ST-TR2_000000,PR-LOADMOV_000005,trucks_ready_to_dump,TruckStock,Add,"{""ore"":{""fe"":3.0,""other_elements"":2.0,""magnetite"":0.5,""hematite"":0.25,""limonite"":0.75},""truck_id"":""Truck_00""}",
2025-05-01 00:00:06.930611210 UTC,ST-TR2_000001,ST-TR2_000000,trucks_ready_to_dump,TruckStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-05-01 00:00:06.930611210 UTC,ST-TR1_000008,PR-LOADMOV_000007,trucks_loaded,TruckStock,Remove,null,
2025-05-01 00:00:06.930611210 UTC,ST-TR2_000002,PR-DUMPING_000001,trucks_ready_to_dump,TruckStock,Remove,"{""ore"":{""fe"":3.0,""other_elements"":2.0,""magnetite"":0.5,""hematite"":0.25,""limonite"":0.75},""truck_id"":""Truck_00""}",
2025-05-01 00:00:06.930611211 UTC,ST-TR2_000003,ST-TR2_000002,trucks_ready_to_dump,TruckStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-05-01 00:00:06.930611211 UTC,ST-TR1_000009,PR-LOADMOV_000008,trucks_loaded,TruckStock,Remove,null,
2025-05-01 00:00:09.952383939 UTC,ST-TR3_000001,PR-DUMPING_000003,trucks_dumped,TruckStock,Add,"{""ore"":null,""truck_id"":""Truck_00""}",
2025-05-01 00:00:09.952383940 UTC,ST-TR3_000002,ST-TR3_000001,trucks_dumped,TruckStock,StateChange,"{""Normal"":{""occupied"":1,""empty"":9}}",
2025-05-01 00:00:09.952383940 UTC,ST-TR3_000003,PR-DUMPMOV_000001,trucks_dumped,TruckStock,Remove,"{""ore"":null,""truck_id"":""Truck_00""}",
2025-05-01 00:00:09.952383940 UTC,ST-TR3_000004,PR-DUMPMOV_000003,trucks_dumped,TruckStock,Remove,null,
2025-05-01 00:00:09.952383941 UTC,ST-TR3_000005,ST-TR3_000003,trucks_dumped,TruckStock,StateChange,"{""Empty"":{""occupied"":0,""empty"":10}}",
2025-05-01 00:00:09.952383941 UTC,ST-TR3_000006,PR-DUMPMOV_000004,trucks_dumped,TruckStock,Remove,null,
